protocol,medium,cc,bandwidth,throughput,goodput
QUIC,cellular,BBR,100mbps,9.207761573113864,8.99157112328567
QUIC,cellular,BBR,10mbps,1.735333752600574,1.6664598434223012
QUIC,cellular,BBR,50mbps,6.88667464440891,6.707966019902955
QUIC,cellular,CUBIC,100mbps,86.03876605055311,84.12908173229121
QUIC,cellular,CUBIC,10mbps,9.933112408795964,9.560389091910261
QUIC,cellular,CUBIC,50mbps,48.87046564826846,47.69047262896196
QUIC,wired,BBR,100mbps,97.13761105787049,91.7957482471743
QUIC,wired,BBR,10mbps,7.906513868513371,7.4368037821806805
QUIC,wired,BBR,50mbps,41.892103858580036,39.44161606724724
QUIC,wired,CUBIC,100mbps,85.32260142365948,81.1149259947995
QUIC,wired,CUBIC,10mbps,10.202129668838758,9.613496772855001
QUIC,wired,CUBIC,50mbps,19.319363618001802,18.246181319829407
TCP,cellular,BBR,100mbps,89.55003541414642,85.53222779197617
TCP,cellular,BBR,10mbps,9.839508897705024,9.290607931458357
TCP,cellular,BBR,50mbps,49.10201655203387,46.86203394150966
TCP,cellular,CUBIC,100mbps,96.21066951520638,91.84476354082251
TCP,cellular,CUBIC,10mbps,10.073082669099877,9.514442041466657
TCP,cellular,CUBIC,50mbps,48.975262143375076,46.722560460888154
TCP,wired,BBR,100mbps,100.68312929844727,94.21380702374547
TCP,wired,BBR,10mbps,10.216554368831458,9.550607730798538
TCP,wired,BBR,50mbps,46.6,43.493333333178
TCP,wired,CUBIC,100mbps,100.64552744343763,94.13850138966048
TCP,wired,CUBIC,10mbps,10.18870221763012,9.509455403087479
TCP,wired,CUBIC,50mbps,48.38918314721587,45.23491828736524
